chat_id,assume_payment,negotiate
uIJJex3,0,N/A
u6RE021,0,N/A
eE80u6V,0,N/A
D0sm1D9,1,N/A
m5K6qU0,0,N/A
bYMXysU,0,N/A
sKqXE32,0,N/A
P5P26pD,0,N/A
tJm3865,1,0
zloma68,0,N/A
2i0b04reeh,1,1
1o0nW2u45t,1,1
Rhuzxj7,0,N/A
d3Ch8ph1aR,1,1
zPTjb1l6da,1,0
UVJILclkyc,0,N/A
TukuX09,0,N/A
8ao24ZQ,0,N/A
4c6w4VU,1,1
b642iD9,1,1
PNIr673,0,N/A
rQAR41T,0,N/A
1Ev9wyX,1,N/A
xisGokcrNl,1,0
wl5950tZLe,1,0
g3HKV6dj9F,0,N/A
Ku9CuJ9,0,N/A
8z8oW28,1,0
rM2Rgj4,0,N/A
kfJA922,1,0
i4Qt3Xj11j,0,N/A
473h3ti0t4,0,N/A
aG0wY9r8ml,0,N/A
w3016YpopX,0,N/A
IS881sN,0,N/A
NJ1f77O,1,1
qlPjA1Q,1,0
624JR1T,0,N/A
Lnd97Rj7rQ,1,0
eGn4stJ,1,1
1w6orhwzeN,0,N/A
2LpKvd3,1,1
xwDrH55,0,N/A
UIzlnqC,0,N/A
hKilx9A,0,N/A
35HyJXW,1,0
UdB6UR9,0,N/A
IJ1jDAc7R2,1,0
5H8p6wC,0,N/A
S8hPB5gptv,1,1
s91hC1e0Di,1,0
30y46K1,1,0
5RCFC4kHON,1,1
2S124aV,1,0
31jpc7wCmR,0,N/A
odxqb0q3A4,0,N/A
d0nJRwg7m9,1,1
fI1ALlw58i,1,1
nO85DKcY7I,1,0
YpzbTxG,0,N/A
YlRwXhek3V,0,N/A
7B8aHNwHch,1,1
bCVABY8,1,0
NocM5XG,1,0
Y35zF6C,1,N/A
BZ4bd20,0,N/A
0tv7k5rpLZ,0,N/A
4cJe6r4,1,1
3zTF4K1,1,0
6QEMja4,1,0
65x8kfwKTk,1,N/A
4U6S89E,1,1
60l906I,1,N/A
Xy0dBg5,1,0
9MHM4fX,0,N/A
Nc68ue0,0,N/A
Tuu7uV9,0,N/A
k06ZJdR,0,N/A
8AjOkTV,1,0
J1pHKI1,1,0
G9Qj1TK,1,N/A
A9G9UrqR7h,1,0
Bd4738p5GX,0,N/A
j2k36mU,1,1
mW2JyW6,1,1
Cy9zT94,1,0
e1svWR8,1,0
N9L4IUt7H7,1,0
Ku5aRoF,0,N/A
Nrh6u75,0,N/A
Ty5UdD2,0,N/A
RSb3RNQ,0,N/A
821CEJM,1,0
5YInt6ofVJ,0,N/A
nvJY1eqX32,1,N/A
St4323dfeJ,0,N/A
hMQ1M7bo5a,0,N/A
Y1ljm4F,1,1
08J2NXr1le,1,N/A
hj60A02,0,N/A
S6V6oibRCO,1,0
gjN6ysm8Cj,1,0
0UP8nPB,0,N/A
ut60qPx2ct,0,N/A
g5l623eGBx,1,1
6kORFGfgqy,1,N/A
BZ1Bv5M,0,N/A
hqQ4udJ,1,0
1B45cZwwU6,1,0
6Mycc2vtky,1,0
bhvGo7X,1,N/A
SYnGjL3,0,N/A
f551b5k5fO,0,N/A
PXLS306,1,0
Qz8N1h7,1,N/A
KHfLRx6,0,N/A
36RBz02,0,N/A
K6LrrehvmX,0,N/A
389Io38,0,N/A
ckqU827,1,0
Wv9N614,0,N/A
ImAP9zeOt1,0,N/A
53k9P7R,1,N/A
n53G22oL63,0,N/A
161c8Rsb7w,0,N/A
7vLSQGp32x,1,N/A
ev5B4N2,0,N/A
AN439VK,1,N/A
P00u7mdMeJ,0,N/A
y4ILdtC,0,N/A
AZZ818kad7,0,N/A
GYJcscds91,0,N/A
13l56sv1i3,1,0
c2aPYhZ,0,N/A
n7hO16lGhG,0,N/A
cu7A1jM,1,N/A
u18m3fr3vP,1,0
l4366yU,1,0
0MXS212,0,N/A
p7h16WZ,1,0
Xwm1fxK,1,N/A
c4lDR6U,1,0
1O3H4db4Xn,1,0
7CZdUtssSA,1,N/A
zggIw1iERu,0,N/A
Jr8bYod3bQ,0,N/A
jDX0e9D,0,N/A
1s628egD2i,1,1
usB7tXoOYq,0,N/A
kG1t460,1,N/A
vJ7NDqgsVu,1,N/A
xWlIKij7nh,0,N/A
9dG482nxKQ,1,1
9U5OkGF,1,0
z4q9cd6,1,1
IYt0sB2,1,0
t9TT6UB,1,1
3Wxrueh3lx,0,N/A
U0hjGBn8WJ,1,1
0m8I0flHxu,1,0
QbUFvu6,1,N/A
vR55sBP,1,N/A
M44u7nU,1,1
Yb59r9E,0,N/A
DSe90l0,0,N/A
LdDXvAX,1,1
sR4Hd13,0,N/A
kIq85i4,0,N/A
DWq9co4,0,N/A
722zmt2,1,0
wf9N9ZF,0,N/A
F8y88TQ,1,1
XMwPC4u0k9,1,1
R284QrI,1,1
sgwtV03,0,N/A
6pe0l4ihq7,0,N/A
J93PNsU,0,N/A
2sUUAc1,1,N/A
5Ncnc73,0,N/A
O77Xa4k6mV,0,N/A
zZwXKQilgq,1,1
G91w023,1,0
ek4CfuA,1,0
gbcU4nV,1,0
zk3o27jdA0,0,N/A
U1O9rnA,1,0
83V81vpnSj,1,1
O6JukLxEpJ,0,N/A
c9letgV,1,1
94ZWteE,0,N/A
XKD0MFojK9,1,0
6nUr8TodDC,1,N/A
a7C6UgG,0,N/A
x0zJgXyO82,0,N/A
sW7X815,1,1
44g08xcVVS,1,1
x5ZQF0Q,1,N/A
YSL0gpS,1,0
4x6LI5fM2q,0,N/A
pR74H86,0,N/A
eRC8PnB,1,1
H7h39Zrqch,0,N/A
g77BL6oXMF,0,N/A
8b5lpN1,0,N/A
1SDlrIvIQ8,1,1
D6eRBEv8Je,0,N/A
7045d2pym9,0,N/A
5qEdVG9,0,N/A
0k99F38,0,N/A
xAQ8Ay7,1,N/A
oHRFc6A,1,0
V4lovffA7W,0,N/A
5LHk1eV,0,N/A
171LMWU,1,0
5ZQtR4L,0,N/A
Jy8t0Ji2w2,1,0
5jsIwR6,1,0
kSR2Hsk66f,0,N/A
0ew68GQ,0,N/A
4hy1rWV,0,N/A
V17lB4kr4P,1,1
41A014Q,0,N/A
941aBhcIb8,1,1
Zu3GIEoCm6,1,0
rw70WrqGtu,1,0
98uLQH8,1,0
uPqYj1T,1,0
0Y4rrk5,0,N/A
oe23A8yoq9,0,N/A
Yl8Ys2dEig,1,N/A
Nc8WdC9,0,N/A
hTor2SV,1,0
yF0PN29,1,0
796nyLntW1,1,0
VWzmM5I,1,1
k6WN2qG,0,N/A
6EPrTJQ,1,1
c5M0D5Y,0,N/A
WeLAd5m240,0,N/A
lKL30qJ,0,N/A
4zk6n9W,1,1
s2u42vM,0,N/A
jA3810T,1,N/A
16PZ8WeCur,0,N/A
d1Ez53G,0,N/A
H7S0N04,1,1
4Ocg2R6,1,0
Vad8I98,1,1
MqJEMFiFoS,0,N/A
o061NE4,0,N/A
f3e3sVeEl0,0,N/A
1Hp6bEq7Lp,0,N/A
bGxwoFV,1,1
8owLMKR,1,0
44rj9vR,1,1
3OEuDmnsNM,1,0
r9SubFS,1,0
3513VNG,1,1
61M43Zkov0,0,N/A
MmGpvUK,0,N/A
6f8m3YkIc0,0,N/A
B7xp0ZP,0,N/A
798UIKh027,1,N/A
CM908pL,1,1
YYV60Ruj1M,0,N/A
HB0koSY,0,N/A
gBvR3Hap6m,0,N/A
9LvUGmR,1,0
etNHhbov2C,0,N/A
rRmZZ82,0,N/A
2jIK039,0,N/A
9LAAvJB,1,1
QG2hlSH,0,N/A
n3h478A,0,N/A
gqX1203,0,N/A
f93bLbhWu6,0,N/A
20WIVB4,0,N/A
W46Sq8F,0,N/A
ME33eg2,1,0
Y9f6m7x8O3,1,0
VJ0G4kz18o,1,1
IID1ZC1,0,N/A
OFYckx7,1,0
7AQb9A7,0,N/A
8vw2Pgclwb,0,N/A
pUJwd48,1,0
2LbACNB,0,N/A
Gx405Ix02K,1,1
ro7rXj6,0,N/A
2yRA1AD,0,N/A
ALcHuDrPrQ,0,N/A
4638zaV,1,0
PpY2Y2pt2a,1,1
3RlWWQ6,1,1
67oUYJo3QG,1,0
CU775nnVPy,0,N/A
Z9qo3Ay3oQ,0,N/A
oK488M6,1,1
V0Mp23n5Up,0,N/A
tWMHSA5,0,N/A
L4ORFQ9,1,0
9Qwk831,0,N/A
VdOtpj5,0,N/A
GvN0LI0,0,N/A
KoGOa59,1,1
LTShEo8,1,N/A
KxSSS9S,0,N/A
16VYi3jLDG,1,0
drm71XG,0,N/A
o0NzahJ,0,N/A
P5AT77H,1,1
J3YJhUH,1,0
719C1x5,1,0
nK6kbcw904,0,N/A
5BBu36sv6l,0,N/A
v3VW440,0,N/A
x2LNd8A,1,1
19YEElxzd1,0,N/A
HCs10c9,1,1
4chkQvcPzi,1,N/A
gmbE182,1,0
40Ob2pC,1,0
k9mkxJP,1,0
0bBOQ26,1,1
v4aSi4J,1,0
yhT6KIV,1,0
vVia9tc8XD,0,N/A
82Y3r4Y,0,N/A
uhJKSsaSQF,1,1
aBeuaH2,0,N/A
f4882O6,0,N/A
1CM6JS5,1,0
05iGLNbux2,1,1
BDS4O25,1,1
wb67D37,0,N/A
syJ07N1,0,N/A
6qz50dJ,1,0
2sv75oyYae,0,N/A
4i04lPk050,0,N/A
4B6u5DyEHO,0,N/A
mU4rSgqa6f,0,N/A
T3Mi0d5,0,N/A
P7DvXGA,0,N/A
g0zhq7F,0,N/A
HF7kOmD,1,1
370Kfjosla,1,N/A
8TRiR11,1,0
2G399p8,0,N/A
NGy63b7,1,0
235Ry36,0,N/A
NrrQgvq147,0,N/A
0SZ1YVK,0,N/A
vDB1aM7,0,N/A
5l82TZmqqP,0,N/A
B8Pn5rJ,1,0
Q1TKR96,1,0
1nzjqa6,1,N/A
66tBqOL,0,N/A
QU2W3iwg0R,1,0
MvkU4UtJJM,0,N/A
7U32hnG,0,N/A
s7w7dw0,1,0
l9tp15ye98,0,N/A
BhZl1E2,0,N/A
ss86L3J,0,N/A
H7o97mX,1,N/A
t27C0EbXdn,1,1
3WJI60n8ig,0,N/A
nt9U6toFa5,1,0
8B0vx3zEZ5,1,N/A
Xdl79IsMa0,0,N/A
pkU3NLZ,1,N/A
k4ZhK44,1,N/A
UgaJYX0,0,N/A
4861471,0,N/A
0XW2oXS,0,N/A
uFp0mI6,0,N/A
R589266,0,N/A
bH9LfqI,0,N/A
5QwOdIB,0,N/A
pg0K9vH,1,1
XPY4GvY,1,1
86EF0GlI1y,1,0
XZT06Wg5UD,0,N/A
sRF0r5os5s,0,N/A
xJMQ2bzH60,0,N/A
56pGTIsnac,1,0
Dykkj4T,1,1
Vj2mQ73,0,N/A
fPxv5VK,1,0
tzOvI0uh32,0,N/A
sqXl2GkAqs,1,N/A
iIBgGsY,1,0
Ri6sLRE,0,N/A
Lr69F51,0,N/A
y01xJG6,0,N/A
5kL7gRQ,0,N/A
j8R6Z83,1,N/A
utRA949,1,1
SxddLHZ,0,N/A
5SZJkP7,1,N/A
4vyL59qh45,1,0
87O6JWK,0,N/A
yXTp9ou0Lk,1,N/A
8G32utR,1,1
FcTVWl4,0,N/A
EnF3v31,1,N/A
96YAr91,0,N/A
nU0eja5,0,N/A
4Qvi55F,0,N/A
3whc1Pjd0t,1,0
KoiSx5J,1,0
y8FgC52,0,N/A
siT4mc9,0,N/A
1J8jcF1,1,N/A
5htya61,1,N/A
Izxd622,0,N/A
Um8TDfeKU8,1,1
5a6Hk05,1,0
p761SKpfPX,1,0
ox6Htnp5s8,1,0
NH298P4,0,N/A
do95Kd2,0,N/A
v5mOp5g29L,1,1
e92VcuW,0,N/A
DEek5RG,0,N/A
jvYZLEN,0,N/A
eQOWkH8,0,N/A
1F8EriA,0,N/A
IK3H4sj78n,0,N/A
RIs9631,1,0
Uoqw5J5,0,N/A
PJ2I126,1,0
NQIpnj0,0,N/A
d4V016poC7,1,N/A
C0Pk12F,1,0
20P5o9K,1,N/A
sxP4UQM,0,N/A
QcFh3cG,0,N/A
mmsudfM,0,N/A
nFhUiPB,0,N/A
Z1NR25uE2y,0,N/A
66I87shP6I,0,N/A
246pQ5Q,0,N/A
o2BpI4cqn2,1,0
3AKwnvS,1,0
LoQwS7j955,1,1
170RyTwgrD,1,0
PGu520hA5x,0,N/A
BgY0Y2hSC8,1,0
R11O3j5,1,N/A
C9Uo1B8,1,1
bBnWvn5,0,N/A
4pZfA89,1,0
r38L3mO,0,N/A
jRL7ly7,1,0
1mV70seqQz,1,N/A
8d78R5A,0,N/A
vBJ2LU2,0,N/A
A1Y9A71,0,N/A
0LShloD,0,N/A
H7g5H3X,1,0
1yiPvKgk2Q,0,N/A
8viD7VE,1,0
x021s37,0,N/A
s4VJYab4W9,1,1
hLzIuzZ,0,N/A
CAB7cPA,1,1
8ha23MN,0,N/A
9ksyFvi58R,0,N/A
oVCetMylkJ,1,N/A
U1EuhnjvqV,1,0
V6fc7tgfEM,1,1
2iaRfXgJ67,1,1
FIq2NQ4,1,0
VsM63J0,0,N/A
54Q48c1,1,0
qo1HZ5vl75,1,1
i1sA3wR,0,N/A
HgFcC0w6Z8,0,N/A
eQ2nXYkGNl,1,1
Tgelqj1,1,0
2TCZls7,1,0
QwZcgH2,0,N/A
2u6XjUxLON,0,N/A
2U2uKh9,0,N/A
gV7859O,1,1
i0O1NE7,0,N/A
2IA4or0,0,N/A
2BH7Zd7,0,N/A
vQpDfyY,0,N/A
gr6HZ8zRd4,1,0
C6N8i92,0,N/A
z2brq09,0,N/A
990wXT3,0,N/A
sys168t7G6,1,0
JrmU20T,0,N/A
D6XfUK5,0,N/A
EHrzVyW,1,N/A
rjl3bVvuXS,1,N/A
wo46Z2td9l,0,N/A
T7fVaThFvk,0,N/A
J1z9uJR,0,N/A
2v8TQyvR4C,1,N/A
Y2yUGI0,0,N/A
DIBxk8H,0,N/A
1DY8M0A,0,N/A
R5cJvfA,0,N/A
6vlIM4jVk3,1,N/A
xS2V63V,0,N/A
GtwO1cM,0,N/A
TolGrm2,0,N/A
4f31KN0,1,N/A
PmB5w3E,1,1
0hVgYPkpB8,0,N/A
5lUcVHI,1,1
5X3JH75,1,N/A
8aDJ26Q,0,N/A
H598ls8,1,1
hW5Gf44,1,N/A
B9HJRCE,0,N/A
3dZ69y4,1,N/A
D0hW9kw0eP,0,N/A
agc46zaiN4,1,1
2wI72PN,1,1
Whu4fO3,0,N/A
xwu2NB2,1,0
29TZp0imr5,0,N/A
Y23603rt0X,1,1
U6fS0khzKQ,0,N/A
UXOU5S2,1,0
Bh4pAC9,1,0
LOfTJDK,0,N/A
2893v1h4xM,1,N/A
KR82g28,0,N/A
i5fMY5po81,1,1
BEHJC1H,1,0
O755EVlh7w,0,N/A
9r27iL6,1,N/A
R6IjojH,0,N/A
yatnr30,1,1
W50ema8,0,N/A
XysWZF3,1,1
DK04xhryj1,1,0
8m946U1,0,N/A
09f4sDz2vo,1,1
hE4zNQ4,1,0
j2xeaRm7K2,0,N/A
w907GcJ,0,N/A
o7l7GoH,0,N/A
134oSlI,0,N/A
miDAJ4l730,0,N/A
G0Ss9Nd0au,0,N/A
WZXATa6,1,0
U0oOu6dbzI,0,N/A
V7DIxoQ,0,N/A
S3Ngl02,0,N/A
E9gKHUko34,0,N/A
mLD8P99,0,N/A
40BOjyN,1,0
e4g7PvO,0,N/A
M854RjcjL4,0,N/A
cd1Vd9F,0,N/A
zveN5a2,1,N/A
bOqK0yR,1,N/A
8viB5Rl0Xw,1,0
LBeewdt73u,1,N/A
oXg2SnV,0,N/A
G1LzPQI,1,1
624lWT1,0,N/A
ijIvJ3p4D3,0,N/A
vb94n7zLY8,0,N/A
l1AhOTu6Z2,0,N/A
uiH7m6ys92,1,1
P8P8ymhwJ7,0,N/A
dCNJ1qQ,0,N/A
m6Nn1e7,1,0
3c7Ssfg61r,1,0
06Gf162,0,N/A
m4HU9DsS2o,0,N/A
Cl0U0n3,1,N/A
L1B2O39,0,N/A
5550BdurNP,0,N/A
43u142U,0,N/A
73Y1AysR3y,0,N/A
ycFUgKF,0,N/A
KvA6jqG,1,0
usxI18dTKd,0,N/A
4u61HH3,0,N/A
Vz060LaLYd,0,N/A
H9wNOCN,1,1
4j1C9rQ,1,0
9502ud5,0,N/A
88x8iJ1,0,N/A
Lh3Oz6D,0,N/A
blL5u4v3u8,1,0
AnXz11am74,1,0
Hs7wdm6,1,N/A
6FXxqBrMN7,0,N/A
ASVbNRlmKk,0,N/A
nSpvA17,1,0
1C8i0yO,0,N/A
2UN069t779,0,N/A
S0Ow3fsk9b,0,N/A
fiia155,0,N/A
3wh19YC,0,N/A
K3P4I56,0,N/A
7mR08i1,1,1
JWqF5zS,1,1
rnuNlHB,1,N/A
mW6pkk3,0,N/A
7dswtqdUd3,0,N/A
TLMd8K5,1,N/A
O67jz58,0,N/A
T6o94g1,0,N/A
75qIsWcOov,0,N/A
qKmvRo0,1,1
9jJIgsQ,0,N/A
0uDMNDL,0,N/A
Ock0aVM,1,1
Kl5P3y9,1,0
9M0ETEbg0A,1,0
2zVDf50,0,N/A
V76jwPm79h,0,N/A
jg0PyabD97,1,N/A
1CknI2cv51,1,0
vLTiM45,0,N/A
1Zhd6D1,1,1
PyZ0iEC,1,1
O2e0L40,1,1
4ktnc39,0,N/A
tanOMPE,1,0
IUsJth6,0,N/A
U9W6c73,0,N/A
0Aw7tOwLAd,1,1
AezF8n1,1,0
92y9AJK,0,N/A
2Q7g62v5OC,1,1
Hlu7J33,0,N/A
xk6gs9L,1,1
g2F47k3,1,0
qe850pc4Q4,1,1
h7D00IwaQd,0,N/A
hIi7ces1mK,0,N/A
USazuHvS4H,1,0
wG21figkf3,0,N/A
stsOaCmI3U,0,N/A
G1RJKV2,1,N/A
h32207O,1,0
8E2Iexrxfu,1,1
OwokVXoft3,0,N/A
9lO4Q4gImf,0,N/A
8axJYwm6Wm,0,N/A
jexSOjnXwU,0,N/A
xuC2384,1,N/A
9n20Mz5,0,N/A
W251GS6,0,N/A
M46okcejbR,0,N/A
5m53I4N,0,N/A
63304D3,0,N/A
c5Z57yW,0,N/A
L6i5i8G,1,1
sYgV88E,1,0
1zUyKeN,1,1
3hu91H7,0,N/A
953L14O,0,N/A
dIYoBaE,0,N/A
HO6Hv82,1,N/A
RCG0C89,1,1
9E3DtJ4,1,0
uNqfK5zxi4,1,0
7Rm8ZWr1Is,1,1
Qtpb7P7,0,N/A
37190HC,1,N/A
7123cr6,1,0
5k8Z2P6,1,N/A
d42MBFyTrx,0,N/A
wwo4A8H,0,N/A
3tPr63O,0,N/A
nE57S5jyoG,1,1
UO1nqb6,1,0
bdH4420,0,N/A
lh61RnP,1,0
0J7Fyye5jr,0,N/A
WdGNob1,0,N/A
47BI1ciThT,0,N/A
541NkvR,0,N/A
7g5g5vB,0,N/A
K3A3PRE,1,0
k7uSK3P,0,N/A
ccf8bo6,0,N/A
701Xhm5,0,N/A
hg9ycV6,0,N/A
7q6WC1H,0,N/A
12T6paB,0,N/A
PMufafL,0,N/A
DGbWVe0,0,N/A
2X1HvCu9gA,0,N/A
S5YmRdbT87,1,1
kIz7y4T,0,N/A
83Yj55P,0,N/A
Z52939m7Tl,1,0
HRkNxLP,0,N/A
z2G4hIvi9o,0,N/A
Fp7kmobv0M,0,N/A
75I883K,0,N/A
Om0x8uS,0,N/A
1pC22jnXX2,1,0
ooK3xtE,1,1
n7HKd41,0,N/A
UqvTS8W,1,0
21l44Bo5oN,1,0
lHkMuAkYQE,0,N/A
0Tk65onAt6,1,1
vazfCtvf6Q,1,1
uWG8a4F,1,1
ufV0S69,0,N/A
rtqV7E0,1,N/A
ETiV6uA,0,N/A
2nChRcy8tR,1,N/A
2Y7EUHwsnN,1,0
764gAUgH6y,1,N/A
9Qi6CSzdw5,1,0
9fls5px9LN,0,N/A
Dcoun7E,0,N/A
3CmhUt1,1,1
21JG2b8,0,N/A
u62V7Pga4N,1,1
m8OyAxN,1,0
HYH6JjT,1,N/A
6Y0SAix5R0,1,1
3Ht1341,1,0
hloEoJi8vU,1,N/A
V967okkyFj,1,1
UoZSzK2,0,N/A
2k8WjPJ,1,1
6J5p4p8,0,N/A
03dv8WxY52,0,N/A
V5r6X2mrXH,1,1
QOHP6lzj1s,1,1
Dc8AspD,1,N/A
8f4G98G,1,1
MwQ9lL9,1,0
xSpX0EL,0,N/A
z344NReszY,1,0
S1sd5JJ,0,N/A
o2d5Gk2,0,N/A
MtF43Wb3Mk,0,N/A
nbCs77X,0,N/A
0tq3gpoXd9,1,N/A
29NbJY1,1,1
eJcl7L9,1,1
GHUTRre1f8,0,N/A
JW9EWpH,1,1
Ax8HgXs550,1,N/A
mb9UvUds99,1,N/A
7Y0p7MbeRm,0,N/A
3w2fShnOrq,0,N/A
8c27jo0,1,0
C2ZLM2nE64,1,0
04Db3t0,1,0
BJY1DP0,1,N/A
X6sGUW4,1,0
9NQ1geW,0,N/A
onBktVZ,1,0
j2cq39E,1,1
90fpUQe68O,0,N/A
CeR48f7,0,N/A
0t4HRi5,1,1
PHUlD41,1,0
CM45e5X,0,N/A
3pg6hkkq7P,1,0
O93UWK7,0,N/A
FON4F80,0,N/A
5D76aiA,1,0
7mdN0x3,0,N/A
eVq49I4,0,N/A
86Yr6hhpQ1,1,1
NdCl10t2uy,1,0
5qfayDuYe3,0,N/A
i6PplHB,1,0
CP7FMp5,0,N/A
wtAqE0c7p9,0,N/A
qIH13P2,1,0
jY1p3rX,1,1
gCMJlIhKRC,1,1
tc13L6I,0,N/A
Dx1jbwK,1,0
4O69F4pp94,1,0
43w8I4yq3L,0,N/A
7uksQEC,0,N/A
RrWpwQsz6n,0,N/A
Oq4q53Q,0,N/A
CLWb9PahH8,0,N/A
PZu5m5p15v,1,1
0h4l2KI,0,N/A
Z376194,1,0
sVT1AEy4L6,1,1
7K1mMr7,0,N/A
6182S1A,1,1
X6rkX5oc6A,1,0
3lo23gG,0,N/A
oq3rtPO,0,N/A
1IB5cYlLwt,0,N/A
Yx6WChJ,1,N/A
ljnAP8J,0,N/A
Yerj6Hu6v3,0,N/A
kcv25kP,0,N/A
Ue55mxey33,0,N/A
pEsxbOlKc9,1,N/A
742mkA2,0,N/A
D6f1W9yoS2,1,1
vkUAMo8,1,N/A
63TV8Y8,1,0
c8Q5CfP,1,1
4V3M82lSie,0,N/A
3cvgNj4,0,N/A
h1l0xtS,1,N/A
Udqh1fs4D0,1,N/A
9f47Ry5,0,N/A
nH4quJt5Sc,1,1
89v66aS,0,N/A
MkV6927,1,1
2d9t5x3,0,N/A
PrpUk23,0,N/A
92lKvN8,1,1
4ts1FI6,0,N/A
oQe20a1,0,N/A
hY8A86kUR8,1,N/A
660lEHP,0,N/A
064vv7sYIA,0,N/A
MTA4WzaNa9,0,N/A
0w4d0c8,0,N/A
8KPm8mnN1W,0,N/A
I92jOoT,1,1
65AU261,1,0
W592lQ3,0,N/A
VDql1AG,1,0
6d85zW0,0,N/A
0KfMjbmKg6,1,1
1wpYh48,1,0
hbb8dVK,0,N/A
w2To7NO,1,N/A
QqhYLJT,0,N/A
20w68uG,1,1
ukx13xL,1,N/A
7QNXNXo2kM,1,N/A
Mm3nvgK,0,N/A
859248G,1,N/A
35R9EXcX1b,0,N/A
1Hs4uojiS5,0,N/A
778w86C,0,N/A
BzASrDH,1,N/A
LGT5j27,1,0
GHIg91D,0,N/A
9mKa6JpaYv,1,0
6U25z44,1,0
15B0sbR,1,1
w60vq3v0WV,1,0
3TZr3Mxt7y,0,N/A
Z7yWCcdzGz,0,N/A
XdMrl3M,1,1
O4P21Kl790,0,N/A
9qFrF7en3l,1,N/A
ox58VDe02X,1,0
7G2294nAPa,1,0
hF2jWe8,0,N/A
y3a4G46,0,N/A
pvr5oGY,0,N/A
rw3ndl3,1,N/A
o0WgYZmayr,1,0
e8zYMTmWCG,0,N/A
814JVrF,1,0
Z1Y0B1I,1,0
xy1tdsg9w5,1,0
M6Fd14N,1,0
xBQ0m4tPU9,0,N/A
sfLohHL,1,0
AR1uNUM,1,1
IOgawo0,0,N/A
HlVt3N7,0,N/A
mKV9ZkiUcV,1,1
jE0w4U4,0,N/A
4wo4fc3,0,N/A
309G11v5O2,0,N/A
s8bTup8,0,N/A
d14HR7gp5l,1,0
XDw8me6,0,N/A
Vo1JLh9,1,0
VaVIv7fC59,0,N/A
hH8AGC3,1,1
ty9vPHaz73,0,N/A
DTLJVN3,1,1
U4Xrg6F,1,1
cIshC23,1,1
SV5Zta1,1,0
Lp5IbQosr9,0,N/A
2sCmRzD,1,1
JG7ApT9,1,1
8rszhV8,0,N/A
6T13kE8,0,N/A
RTa6JnO,1,1
PFNTOs0,1,0
